File;TimeStamp;General Channel [V]; General Channel [V];K-Type TC [V]; K-Type TC [degC];K-Type TC 2 [V]; K-Type TC 2 [degC];K-Type TC 3 [V]; K-Type TC 3 [degC];K-Type TC 4 [V]; K-Type TC 4 [degC];K-Type TC 5 [V]; K-Type TC 5 [degC];K-Type TC 6 [V]; K-Type TC 6 [degC];K-Type TC 7 [V]; K-Type TC 7 [degC]
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0750_0.tiff;1135.684585;0.00900507026941003;0.00900507026941003;0.0104396479135542;253.4780521608;0.00706364063225035;171.507495602611;0.00735689550202462;178.627819371437;0.0010054241761818;24.4120265246738;0.0106542246475354;258.68804516238;0.00974584980701505;236.632408122359;0.00076938976880251;18.681034222936
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0751_0.tiff;1136.285314;0.0090909009630025;0.0090909009630025;0.0104253427979554;253.130719294028;0.00735689550202462;178.627819371437;0.00732113271302776;177.759487204507;0.000969661387184941;23.5436943577439;0.0106399195319366;258.340712295608;0.00958134097762948;232.638080154481;0.00074077953760502;17.986368489392
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0752_0.tiff;1136.885833;0.00899076515381128;0.00899076515381128;0.010396732566758;252.436053560484;0.00714947132584282;173.591492803243;0.0073354378286265;178.106820071279;0.000926746040388706;22.5016957574279;0.0105540888383441;256.256715094976;0.0097315446914163;236.285075255587;0.000669253959611294;16.2497041555321
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0753_0.tiff;1137.487419;0.00889062934462007;0.00889062934462007;0.010282291641968;249.657390626308;0.00726391225063278;176.370155737419;0.00734974294422525;178.454152938051;0.000969661387184941;23.5436943577439;0.0106184618585385;257.81971299545;0.00965286655562321;234.374744488341;0.000819457673398118;19.896699256638
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0754_0.tiff;1138.088804;0.00885486655562321;0.00885486655562321;0.0102608339685699;249.13639132615;0.00721384434603717;175.154490703717;0.00732828527082713;177.933153637893;0.00101257673398118;24.5856929580598;0.0105111734915479;255.21471649466;0.00955273074643199;231.943414420937;0.00076938976880251;18.681034222936
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0755_0.tiff;1138.689517;0.0088834767868207;0.0088834767868207;0.010167850717178;246.878727692132;0.00712086109464533;172.896827069699;0.00722814946163591;175.501823570489;0.000969661387184941;23.5436943577439;0.0103752748933598;251.915054260326;0.0096027986510276;233.159079454639;0.00074077953760502;17.986368489392
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0756_0.tiff;1139.290455;0.00879764609322823;0.00879764609322823;0.010225071179573;248.26805915922;0.00716377644144156;173.938825670015;0.00724960713503403;176.022822870647;0.00103403440737929;25.1066922582178;0.0104038851245573;252.60971999387;0.00955988330423136;232.117080854323;0.000762237211003137;18.50736778955
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0757_0.tiff;1139.890963;0.00877618841983011;0.00877618841983011;0.0100677149079868;244.447397624728;0.00719953923043842;174.807157836945;0.00717092899924093;174.112492103401;0.000955356271586196;23.1963614909719;0.010225071179573;248.26805915922;0.00934530657025019;226.907087852743;0.000705016748608157;17.1180363224621
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0758_0.tiff;1140.492547;0.00875473074643199;0.00875473074643199;0.0100605623501874;244.273731191342;0.00719238667263905;174.633491403559;0.00723530201943529;175.675490003875;0.0010054241761818;24.4120265246738;0.010167850717178;246.878727692132;0.0095241205152345;231.248748687393;0.000612033497216314;14.8603726884442
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0759_0.tiff;1140.994710;0.00868320516843827;0.00868320516843827;0.0100104944455918;243.05806615764;0.00705648807445097;171.333829169225;0.00731398015522839;177.585820771121;0.000998271618382431;24.2383600912878;0.0103323595465636;250.87305566001;0.00943828982164203;229.164751486761;0.000647796286213177;15.7287048553741
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0760_0.tiff;1141.596079;0.00850439122345395;0.00850439122345395;0.00988174840520313;239.932070356692;0.00703503040105286;170.812829869067;0.00722099690383654;175.328157137103;0.00101972929178055;24.7593593914458;0.0102107660639743;247.920726292448;0.0093166963390527;226.212422119199;0.000626338612815059;15.2077055552161
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0761_0.tiff;1142.197033;0.00860452703264517;0.00860452703264517;0.00983883305840689;238.890071756376;0.00704218295885223;170.986496302453;0.00711370853684595;172.723160636313;0.000976813944984313;23.7173607911298;0.0101535456015793;246.53139482536;0.00936676424364831;227.428087152901;0.000755084653203765;18.333701356164
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0762_0.tiff;1142.798190;0.0086474423794414;0.0086474423794414;0.00979591771161066;237.84807315606;0.00694204714966101;168.555166235049;0.0071280136524447;173.070493503085;0.00105549208077741;25.6276915583758;0.00999618932999309;242.710733290868;0.00930239122345395;225.865089252427;0.000647796286213177;15.7287048553741
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0763_0.tiff;1143.399109;0.00850439122345395;0.00850439122345395;0.00975300236481442;236.806074555745;0.00705648807445097;171.333829169225;0.00712086109464533;172.896827069699;0.000976813944984313;23.7173607911298;0.0100605623501874;244.273731191342;0.00936676424364831;227.428087152901;0.00076938976880251;18.681034222936
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0764_0.tiff;1144.000048;0.0083613400674665;0.0083613400674665;0.00976730748041317;237.153407422517;0.00702072528545411;170.465497002295;0.00716377644144156;173.938825670015;0.000991119060583059;24.0646936579018;0.00999618932999309;242.710733290868;0.00928808610785521;225.517756385655;0.000633491170614432;15.3813719886021
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0765_0.tiff;1144.600775;0.0084400182032596;0.0084400182032596;0.00958849353542885;232.811746587867;0.00693489459186164;168.381499801663;0.00713516621024407;173.244159936471;0.000998271618382431;24.2383600912878;0.00994612142539748;241.495068257166;0.00924517076105897;224.475757785339;0.000755084653203765;18.333701356164
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0766_0.tiff;1145.201928;0.00834703495186776;0.00834703495186776;0.00963140888222509;233.853745188183;0.00702072528545411;170.465497002295;0.00700642016985537;170.118164135523;0.000976813944984313;23.7173607911298;0.00982452794280815;238.542738889604;0.00930954378125332;226.038755685813;0.000683559075210039;16.5970370223041
